member_id,first_name,last_name,neighborhood,checkout_id,book_id,checkout_date,return_date,genre,publication_year
1001,Salma,Ibrahim,Maadi,9025,525,2024-10-24,2024-11-07,Adventure,2015.0
1002,Fares,Saleh,Maadi,9013,501,2024-02-16,2024-02-29,Adventure,2017.0
1002,Fares,Saleh,Maadi,9095,507,2024-06-25,2024-07-07,Science,2024.0
1003,Bassel,Hegazy,Maadi,9051,513,2025-07-22,2025-08-18,Science,2021.0
1003,Bassel,Hegazy,Maadi,9068,501,2025-11-14,2025-12-03,Adventure,2017.0
1003,Bassel,Hegazy,Maadi,9074,501,2024-06-19,2024-07-06,Adventure,2017.0
1003,Bassel,Hegazy,Maadi,9071,503,2024-03-25,2024-04-09,Historical,
1003,Bassel,Hegazy,Maadi,9103,513,2025-09-04,2025-09-25,Science,2021.0
1003,Bassel,Hegazy,Maadi,9050,521,2025-08-21,,Science,2024.0
1003,Bassel,Hegazy,Maadi,9048,519,2024-12-03,2025-01-01,Friendship,2014.0
1003,Bassel,Hegazy,Maadi,9088,519,2025-09-17,2025-10-03,Friendship,2014.0
1003,Bassel,Hegazy,Maadi,9018,522,2025-06-12,2025-06-24,Mystery,2016.0
1005,Youssef,Halim,Maadi,9043,505,2024-01-26,2024-02-04,Historical,2024.0
1005,Youssef,Halim,Maadi,9066,513,2025-07-15,2025-07-31,Science,2021.0
1005,Youssef,Halim,Maadi,9029,507,2025-03-07,2025-03-29,Science,2024.0
1006,Layla,Mansour,Maadi,9058,501,2025-03-18,2025-04-09,Adventure,2017.0
1007,Sherif,Fouad,Maadi,9072,513,2025-03-05,2025-04-01,Science,2021.0
1007,Sherif,Fouad,Maadi,9047,507,2024-10-11,2024-10-24,Science,2024.0
1007,Sherif,Fouad,Maadi,9038,506,2024-07-15,2024-08-12,Friendship,
1008,Ziad,Saleh,Maadi,9005,513,2025-04-20,2025-04-29,Science,2021.0
1008,Ziad,Saleh,Maadi,9001,501,2025-08-23,2025-08-28,Adventure,2017.0
1008,Ziad,Saleh,Maadi,9091,525,2024-06-03,2024-06-12,Adventure,2015.0
1008,Ziad,Saleh,Maadi,9053,516,2025-07-20,2025-08-08,Nature,2010.0
1008,Ziad,Saleh,Maadi,9021,501,2025-05-22,2025-05-29,Adventure,2017.0
1008,Ziad,Saleh,Maadi,9007,507,2025-03-15,2025-03-31,Science,2024.0
1008,Ziad,Saleh,Maadi,9073,513,2025-02-13,,Science,2021.0
1008,Ziad,Saleh,Maadi,9067,507,2024-01-05,2024-01-29,Science,2024.0
1008,Ziad,Saleh,Maadi,9093,507,2025-03-22,2025-04-19,Science,2024.0
1008,Ziad,Saleh,Maadi,9064,502,2025-06-12,2025-06-21,Adventure,2018.0
1008,Ziad,Saleh,Maadi,9077,514,2024-07-28,2024-08-12,Science Fiction,2023.0
1008,Ziad,Saleh,Maadi,9080,501,2024-03-20,2024-04-18,Adventure,2017.0
1008,Ziad,Saleh,Maadi,9037,509,2024-01-02,2024-01-22,Mystery,2011.0
1008,Ziad,Saleh,Maadi,9076,529,2025-12-12,2025-12-20,Mystery,
1008,Ziad,Saleh,Maadi,9078,521,2024-09-21,2024-10-12,Science,2024.0
1008,Ziad,Saleh,Maadi,9045,520,2024-05-28,,Science Fiction,2009.0
1008,Ziad,Saleh,Maadi,9079,520,2025-12-27,2026-01-05,Science Fiction,2009.0
1008,Ziad,Saleh,Maadi,9098,525,2024-12-15,2024-12-31,Adventure,2015.0
1008,Ziad,Saleh,Maadi,9084,511,2024-06-27,2024-07-22,Historical,2016.0
1009,Hassan,Saleh,Maadi,9010,513,2025-07-22,2025-08-16,Science,2021.0
1010,Nour,Nabil,Maadi ,9082,528,2025-11-11,2025-11-18,Nature,2010.0
1010,Nour,Nabil,Maadi ,9012,501,2025-02-17,,Adventure,2017.0
1010,Nour,Nabil,Maadi ,9056,519,2025-07-11,2025-07-27,Friendship,2014.0
1010,Nour,Nabil,Maadi ,9036,515,2024-11-27,2024-12-24,Poetry,2022.0
1010,Nour,Nabil,Maadi ,9100,513,2025-08-27,2025-09-22,Science,2021.0
1010,Nour,Nabil,Maadi ,9024,507,2025-01-27,2025-02-09,Science,2024.0
1010,Nour,Nabil,Maadi ,9008,520,2025-08-11,,Science Fiction,2009.0
1010,Nour,Nabil,Maadi ,9015,507,2025-09-02,2025-09-14,Science,2024.0
1010,Nour,Nabil,Maadi ,9049,514,2025-09-08,,Science Fiction,2023.0
1010,Nour,Nabil,Maadi ,9069,505,2024-06-14,2024-07-10,Historical,2024.0
1010,Nour,Nabil,Maadi ,9102,502,2024-10-05,,Adventure,2018.0
1010,Nour,Nabil,Maadi ,9022,507,2025-11-14,2025-12-03,Science,2024.0
1010,Nour,Nabil,Maadi ,9089,507,2025-06-22,2025-07-22,Science,2024.0
1010,Nour,Nabil,Maadi ,9062,520,2024-07-28,2024-08-26,Science Fiction,2009.0
1010,Nour,Nabil,Maadi ,9041,506,2025-02-22,2025-03-19,Friendship,
1010,Nour,Nabil,Maadi ,9060,527,2024-05-20,2024-05-28,Nature,2017.0
1010,Nour,Nabil,Maadi ,9042,509,2024-02-28,,Mystery,2011.0
1010,Nour,Nabil,Maadi ,9014,519,2024-06-28,2024-07-20,Friendship,2014.0
1011,Menna,Halim,Maadi,9032,501,2024-11-24,2024-12-11,Adventure,2017.0
1011,Menna,Halim,Maadi,9083,516,2025-10-02,2025-10-09,Nature,2010.0
1013,Ziad,Fouad,Maadi,9004,519,2025-07-27,2025-08-16,Friendship,2014.0
1013,Ziad,Fouad,Maadi,9054,510,2024-11-21,,Mystery,2013.0
1014,Habiba,Nabil,Maadi,9019,513,2024-03-06,2024-03-23,Science,2021.0
1015,Hamza,Sabry,Maadi,9034,511,2025-10-13,,Historical,2016.0
1015,Hamza,Sabry,Maadi,9003,501,2024-08-04,2024-08-13,Adventure,2017.0
1015,Hamza,Sabry,Maadi,9055,525,2025-08-08,2025-08-27,Adventure,2015.0
1016,Dina,Rashad,Maadi,9020,506,2024-04-15,2024-05-04,Friendship,
1016,Dina,Rashad,Maadi,9040,529,2025-01-23,2025-02-11,Mystery,
1016,Dina,Rashad,Maadi,9090,507,2025-02-18,2025-03-04,Science,2024.0
1016,Dina,Rashad,Maadi,9059,518,2025-06-28,2025-07-27,Adventure,2011.0
1016,Dina,Rashad,Maadi,9061,505,2025-04-28,2025-05-20,Historical,2024.0
1016,Dina,Rashad,Maadi,9065,509,2024-12-21,,Mystery,2011.0
1016,Dina,Rashad,Maadi,9016,527,2024-12-03,2024-12-11,Nature,2017.0
1017,Adam,Badr,Maadi,9028,507,2025-01-19,2025-01-28,Science,2024.0
1017,Adam,Badr,Maadi,9081,502,2025-08-25,2025-09-17,Adventure,2018.0
1018,Ahmed,Shafik,Maadi,9097,501,2025-10-05,2025-10-14,Adventure,2017.0
1018,Ahmed,Shafik,Maadi,9030,507,2025-03-09,,Science,2024.0
1018,Ahmed,Shafik,Maadi,9063,515,2024-10-22,,Poetry,2022.0
1018,Ahmed,Shafik,Maadi,9070,513,2025-01-08,2025-02-01,Science,2021.0
1018,Ahmed,Shafik,Maadi,9075,510,2024-07-01,,Mystery,2013.0
1018,Ahmed,Shafik,Maadi,9027,519,2024-11-04,,Friendship,2014.0
1018,Ahmed,Shafik,Maadi,9017,519,2024-08-06,2024-08-11,Friendship,2014.0
1018,Ahmed,Shafik,Maadi,9378,501,2024-09-05,2024-09-21,Adventure,2017.0
1018,Ahmed,Shafik,Maadi,9006,507,2025-06-26,2025-07-01,Science,2024.0
1018,Ahmed,Shafik,Maadi,9104,507,2024-05-15,,Science,2024.0
1018,Ahmed,Shafik,Maadi,9099,506,2025-10-10,2025-11-09,Friendship,
1018,Ahmed,Shafik,Maadi,9086,501,2024-06-20,2024-06-29,Adventure,2017.0
1018,Ahmed,Shafik,Maadi,9044,503,2024-10-07,,Historical,
1018,Ahmed,Shafik,Maadi,9023,503,2025-08-04,2025-08-27,Historical,
1018,Ahmed,Shafik,Maadi,9026,506,2025-04-21,2025-05-04,Friendship,
1018,Ahmed,Shafik,Maadi,9085,525,2025-08-19,2025-09-18,Adventure,2015.0
1018,Ahmed,Shafik,Maadi,9039,513,2024-07-21,2024-08-10,Science,2021.0
1019,Mostafa,Wahba,Maadi,9092,507,2025-03-20,2025-03-27,Science,2024.0
1019,Mostafa,Wahba,Maadi,9052,501,2024-06-20,2024-06-29,Adventure,2017.0
1020,Rana,Fouad,Maadi,9031,530,2025-12-28,2026-01-05,Adventure,2012.0
1020,Rana,Fouad,Maadi,9101,532,2025-05-25,2025-06-15,Friendship,2017.0
1020,Rana,Fouad,Maadi,9057,519,2025-02-03,,Friendship,2014.0
1020,Rana,Fouad,Maadi,9033,522,2025-02-26,2025-03-11,Mystery,2016.0
1020,Rana,Fouad,Maadi,9087,511,2025-12-03,2025-12-13,Historical,2016.0
1020,Rana,Fouad,Maadi,9035,501,2024-08-01,2024-08-23,Adventure,2017.0
1020,Rana,Fouad,Maadi,9002,515,2024-12-06,2024-12-11,Poetry,2022.0
1022,Youssef,Fouad,Maadi,9380,513,2024-04-22,2024-04-28,Science,2021.0
1022,Youssef,Fouad,Maadi,9094,527,2024-11-22,2024-12-08,Nature,2017.0
1022,Youssef,Fouad,Maadi,9046,513,2024-02-22,,Science,2021.0
1022,Youssef,Fouad,Maadi,9009,506,2025-04-28,2025-05-04,Friendship,
1022,Youssef,Fouad,Maadi,9096,501,2025-02-17,2025-03-17,Adventure,2017.0
1022,Youssef,Fouad,Maadi,9011,513,2024-03-17,,Science,2021.0
1023,Hassan,Rashad,Nasr City,9188,507,2025-05-11,2025-06-08,Science,2024.0
1024,Youssef,Hegazy,Nasr City,9127,506,2025-06-13,,Friendship,
1024,Youssef,Hegazy,Nasr City,9144,501,2025-11-07,2025-11-25,Adventure,2017.0
