member_id,first_name,last_name,neighborhood,checkout_id,book_id,checkout_date,return_date,genre,publication_year
1001,Salma,Ibrahim,Maadi,9025.0,525,2024-10-24,2024-11-07,Adventure,2015.0
1002,Fares,Saleh,Maadi,9013.0,501,2024-02-16,2024-02-29,Adventure,2017.0
1002,Fares,Saleh,Maadi,9095.0,507,2024-06-25,2024-07-07,Science,2024.0
1003,Bassel,Hegazy,Maadi,9051.0,513,2025-07-22,2025-08-18,Science,2021.0
1003,Bassel,Hegazy,Maadi,9068.0,501,2025-11-14,2025-12-03,Adventure,2017.0
1003,Bassel,Hegazy,Maadi,9074.0,501,2024-06-19,2024-07-06,Adventure,2017.0
1003,Bassel,Hegazy,Maadi,9071.0,503,2024-03-25,2024-04-09,Historical,Not provided
1003,Bassel,Hegazy,Maadi,9103.0,513,2025-09-04,2025-09-25,Science,2021.0
1003,Bassel,Hegazy,Maadi,9050.0,521,2025-08-21,,Science,2024.0
1003,Bassel,Hegazy,Maadi,9048.0,519,2024-12-03,2025-01-01,Friendship,2014.0
1003,Bassel,Hegazy,Maadi,9088.0,519,2025-09-17,2025-10-03,Friendship,2014.0
1003,Bassel,Hegazy,Maadi,9018.0,522,2025-06-12,2025-06-24,Mystery,2016.0
1005,Youssef,Halim,Maadi,9043.0,505,2024-01-26,2024-02-04,Historical,2024.0
1005,Youssef,Halim,Maadi,9066.0,513,2025-07-15,2025-07-31,Science,2021.0
1005,Youssef,Halim,Maadi,9029.0,507,2025-03-07,2025-03-29,Science,2024.0
1006,Layla,Mansour,Maadi,9058.0,501,2025-03-18,2025-04-09,Adventure,2017.0
1007,Sherif,Fouad,Maadi,9072.0,513,2025-03-05,2025-04-01,Science,2021.0
1007,Sherif,Fouad,Maadi,9047.0,507,2024-10-11,2024-10-24,Science,2024.0
1007,Sherif,Fouad,Maadi,9038.0,506,2024-07-15,2024-08-12,Friendship,Not provided
1008,Ziad,Saleh,Maadi,9005.0,513,2025-04-20,2025-04-29,Science,2021.0
1008,Ziad,Saleh,Maadi,9001.0,501,2025-08-23,2025-08-28,Adventure,2017.0
1008,Ziad,Saleh,Maadi,9091.0,525,2024-06-03,2024-06-12,Adventure,2015.0
1008,Ziad,Saleh,Maadi,9053.0,516,2025-07-20,2025-08-08,Nature,2010.0
1008,Ziad,Saleh,Maadi,9021.0,501,2025-05-22,2025-05-29,Adventure,2017.0
1008,Ziad,Saleh,Maadi,9007.0,507,2025-03-15,2025-03-31,Science,2024.0
1008,Ziad,Saleh,Maadi,9073.0,513,2025-02-13,,Science,2021.0
1008,Ziad,Saleh,Maadi,9067.0,507,2024-01-05,2024-01-29,Science,2024.0
1008,Ziad,Saleh,Maadi,9093.0,507,2025-03-22,2025-04-19,Science,2024.0
1008,Ziad,Saleh,Maadi,9064.0,502,2025-06-12,2025-06-21,Adventure,2018.0
1008,Ziad,Saleh,Maadi,9077.0,514,2024-07-28,2024-08-12,Science Fiction,2023.0
1008,Ziad,Saleh,Maadi,9080.0,501,2024-03-20,2024-04-18,Adventure,2017.0
1008,Ziad,Saleh,Maadi,9037.0,509,2024-01-02,2024-01-22,Mystery,2011.0
1008,Ziad,Saleh,Maadi,9076.0,529,2025-12-12,2025-12-20,Mystery,Not provided
1008,Ziad,Saleh,Maadi,9078.0,521,2024-09-21,2024-10-12,Science,2024.0
1008,Ziad,Saleh,Maadi,9045.0,520,2024-05-28,,Science Fiction,2009.0
1008,Ziad,Saleh,Maadi,9079.0,520,2025-12-27,2026-01-05,Science Fiction,2009.0
1008,Ziad,Saleh,Maadi,9098.0,525,2024-12-15,2024-12-31,Adventure,2015.0
1008,Ziad,Saleh,Maadi,9084.0,511,2024-06-27,2024-07-22,Historical,2016.0
1009,Hassan,Saleh,Maadi,9010.0,513,2025-07-22,2025-08-16,Science,2021.0
1010,Nour,Nabil,Maadi,9082.0,528,2025-11-11,2025-11-18,Nature,2010.0
1010,Nour,Nabil,Maadi,9012.0,501,2025-02-17,,Adventure,2017.0
1010,Nour,Nabil,Maadi,9056.0,519,2025-07-11,2025-07-27,Friendship,2014.0
1010,Nour,Nabil,Maadi,9036.0,515,2024-11-27,2024-12-24,Poetry,2022.0
1010,Nour,Nabil,Maadi,9100.0,513,2025-08-27,2025-09-22,Science,2021.0
1010,Nour,Nabil,Maadi,9024.0,507,2025-01-27,2025-02-09,Science,2024.0
1010,Nour,Nabil,Maadi,9008.0,520,2025-08-11,,Science Fiction,2009.0
1010,Nour,Nabil,Maadi,9015.0,507,2025-09-02,2025-09-14,Science,2024.0
1010,Nour,Nabil,Maadi,9049.0,514,2025-09-08,,Science Fiction,2023.0
1010,Nour,Nabil,Maadi,9069.0,505,2024-06-14,2024-07-10,Historical,2024.0
1010,Nour,Nabil,Maadi,9102.0,502,2024-10-05,,Adventure,2018.0
1010,Nour,Nabil,Maadi,9022.0,507,2025-11-14,2025-12-03,Science,2024.0
1010,Nour,Nabil,Maadi,9089.0,507,2025-06-22,2025-07-22,Science,2024.0
1010,Nour,Nabil,Maadi,9062.0,520,2024-07-28,2024-08-26,Science Fiction,2009.0
1010,Nour,Nabil,Maadi,9041.0,506,2025-02-22,2025-03-19,Friendship,Not provided
1010,Nour,Nabil,Maadi,9060.0,527,2024-05-20,2024-05-28,Nature,2017.0
1010,Nour,Nabil,Maadi,9042.0,509,2024-02-28,,Mystery,2011.0
1010,Nour,Nabil,Maadi,9014.0,519,2024-06-28,2024-07-20,Friendship,2014.0
1011,Menna,Halim,Maadi,9032.0,501,2024-11-24,2024-12-11,Adventure,2017.0
